Element# βxx' βyy' βzz' 
1.3100000e+02 1.3132081e+00 1.2755620e+00 6.1299016e+00 
1.3200000e+02 1.3507389e+00 1.2770726e+00 1.1380574e+01 
1.3300000e+02 1.3507389e+00 1.2770726e+00 1.1380574e+01 
1.3400000e+02 1.3507389e+00 1.2770726e+00 1.1380574e+01 
1.3500000e+02 1.3881810e+00 1.2786454e+00 1.6910324e+01 
1.3600000e+02 1.3881810e+00 1.2786454e+00 1.6910324e+01 
1.3700000e+02 1.3881810e+00 1.2786454e+00 1.6910324e+01 
1.3800000e+02 1.4254972e+00 1.2802813e+00 2.2571408e+01 
1.3900000e+02 1.4254972e+00 1.2802813e+00 2.2571408e+01 
1.4000000e+02 1.4254972e+00 1.2802813e+00 2.2571408e+01 
1.4100000e+02 1.4626505e+00 1.2819804e+00 2.8330022e+01 
1.4200000e+02 1.4626505e+00 1.2819804e+00 2.8330022e+01 
1.4300000e+02 1.4626505e+00 1.2819804e+00 2.8330022e+01 
1.4400000e+02 1.4996027e+00 1.2837416e+00 3.4173682e+01 
1.4500000e+02 1.4996027e+00 1.2837416e+00 3.4173682e+01 
1.4600000e+02 1.4996027e+00 1.2837416e+00 3.4173682e+01 
1.4700000e+02 1.5363202e+00 1.2855663e+00 4.0096165e+01 
1.4800000e+02 1.5363202e+00 1.2855663e+00 4.0096165e+01 
1.4900000e+02 1.5363202e+00 1.2855663e+00 4.0096165e+01 
1.5000000e+02 1.5727655e+00 1.2874533e+00 4.6093664e+01 
1.5100000e+02 1.5727655e+00 1.2874533e+00 4.6093664e+01 
1.5200000e+02 1.5727655e+00 1.2874533e+00 4.6093664e+01 
1.5300000e+02 1.6089029e+00 1.2894041e+00 5.2163413e+01 
1.5400000e+02 1.6089029e+00 1.2894041e+00 5.2163413e+01 
1.5500000e+02 1.6089029e+00 1.2894041e+00 5.2163413e+01 
1.5600000e+02 1.6446960e+00 1.2914162e+00 5.8303172e+01 
1.5700000e+02 1.6446960e+00 1.2914162e+00 5.8303172e+01 
1.5800000e+02 1.6446960e+00 1.2914162e+00 5.8303172e+01 
1.5900000e+02 1.6801095e+00 1.2934919e+00 6.4510993e+01 
1.6000000e+02 1.6801095e+00 1.2934919e+00 6.4510993e+01 
1.6100000e+02 1.6801095e+00 1.2934919e+00 6.4510993e+01 
1.6200000e+02 1.7151080e+00 1.2956309e+00 7.0785055e+01 
1.6300000e+02 1.7151080e+00 1.2956309e+00 7.0785055e+01 
1.6400000e+02 1.7151080e+00 1.2956309e+00 7.0785055e+01 
1.6500000e+02 1.7496599e+00 1.2978316e+00 7.7123636e+01 
1.6600000e+02 1.7496599e+00 1.2978316e+00 7.7123636e+01 
1.6700000e+02 1.7496599e+00 1.2978316e+00 7.7123636e+01 
1.6800000e+02 1.7837279e+00 1.3000955e+00 8.3525020e+01 
1.6900000e+02 1.7837279e+00 1.3000955e+00 8.3525020e+01 
1.7000000e+02 1.7837279e+00 1.3000955e+00 8.3525020e+01 
1.7100000e+02 1.8172799e+00 1.3024227e+00 8.9987723e+01 
1.7200000e+02 1.8172799e+00 1.3024227e+00 8.9987723e+01 
1.7300000e+02 1.8172799e+00 1.3024227e+00 8.9987723e+01 
1.7400000e+02 1.8502817e+00 1.3048122e+00 9.6510022e+01 
1.7500000e+02 1.8502817e+00 1.3048122e+00 9.6510022e+01 
1.7600000e+02 1.8502817e+00 1.3048122e+00 9.6510022e+01 
1.7700000e+02 1.8827032e+00 1.3072644e+00 1.0309031e+02 
1.7800000e+02 1.8827032e+00 1.3072644e+00 1.0309031e+02 
1.7900000e+02 1.8827032e+00 1.3072644e+00 1.0309031e+02 
1.8000000e+02 1.9145106e+00 1.3097792e+00 1.0972694e+02 
1.8100000e+02 1.9145106e+00 1.3097792e+00 1.0972694e+02 
1.8200000e+02 1.9145106e+00 1.3097792e+00 1.0972694e+02 
1.8300000e+02 1.9456729e+00 1.3123579e+00 1.1641824e+02 
1.8400000e+02 1.9456729e+00 1.3123579e+00 1.1641824e+02 
1.8500000e+02 1.9456729e+00 1.3123579e+00 1.1641824e+02 
1.8600000e+02 1.9761576e+00 1.3149987e+00 1.2316272e+02 
1.8700000e+02 1.9761576e+00 1.3149987e+00 1.2316272e+02 
1.8800000e+02 1.9761576e+00 1.3149987e+00 1.2316272e+02 
1.8900000e+02 2.0059381e+00 1.3177021e+00 1.2995867e+02 
1.9000000e+02 2.0059381e+00 1.3177021e+00 1.2995867e+02 
1.9100000e+02 2.0059381e+00 1.3177021e+00 1.2995867e+02 
1.9200000e+02 2.0349845e+00 1.3204683e+00 1.3680454e+02 
1.9300000e+02 2.0349845e+00 1.3204683e+00 1.3680454e+02 
1.9400000e+02 2.0349845e+00 1.3204683e+00 1.3680454e+02 
1.9500000e+02 2.0632647e+00 1.3232983e+00 1.4369862e+02 
1.9600000e+02 2.0632647e+00 1.3232983e+00 1.4369862e+02 
1.9700000e+02 2.0632647e+00 1.3232983e+00 1.4369862e+02 
1.9800000e+02 2.0907547e+00 1.3261902e+00 1.5063918e+02 
1.9900000e+02 2.0907547e+00 1.3261902e+00 1.5063918e+02 
2.0000000e+02 2.0907547e+00 1.3261902e+00 1.5063918e+02 
2.0100000e+02 2.1174256e+00 1.3291450e+00 1.5762457e+02 
2.0200000e+02 2.1174256e+00 1.3291450e+00 1.5762457e+02 
2.0300000e+02 2.1174256e+00 1.3291450e+00 1.5762457e+02 
2.0400000e+02 2.1432506e+00 1.3321625e+00 1.6465324e+02 
2.0500000e+02 2.1432506e+00 1.3321625e+00 1.6465324e+02 
2.0600000e+02 2.1432506e+00 1.3321625e+00 1.6465324e+02 
2.0700000e+02 2.1682065e+00 1.3352429e+00 1.7172329e+02 
2.0800000e+02 2.1682065e+00 1.3352429e+00 1.7172329e+02 
2.0900000e+02 2.1682065e+00 1.3352429e+00 1.7172329e+02 
2.1000000e+02 2.1922666e+00 1.3383873e+00 1.7883320e+02 
2.1100000e+02 2.1922666e+00 1.3383873e+00 1.7883320e+02 
2.1200000e+02 2.1922666e+00 1.3383873e+00 1.7883320e+02 
2.1300000e+02 2.2154084e+00 1.3415932e+00 1.8598123e+02 
2.1400000e+02 2.2154084e+00 1.3415932e+00 1.8598123e+02 
2.1500000e+02 2.2154084e+00 1.3415932e+00 1.8598123e+02 
2.1600000e+02 2.2376086e+00 1.3448621e+00 1.9316556e+02 
2.1700000e+02 2.2376086e+00 1.3448621e+00 1.9316556e+02 
2.1800000e+02 2.2376086e+00 1.3448621e+00 1.9316556e+02 
2.1900000e+02 2.2588439e+00 1.3481939e+00 2.0038458e+02 
2.2000000e+02 2.2588439e+00 1.3481939e+00 2.0038458e+02 
2.2100000e+02 2.2588439e+00 1.3481939e+00 2.0038458e+02 
2.2200000e+02 2.2790964e+00 1.3515883e+00 2.0763652e+02 
2.2300000e+02 2.2790964e+00 1.3515883e+00 2.0763652e+02 
2.2400000e+02 2.2790964e+00 1.3515883e+00 2.0763652e+02 
2.2500000e+02 2.2983432e+00 1.3550455e+00 2.1491954e+02 
2.2600000e+02 2.2983432e+00 1.3550455e+00 2.1491954e+02 
2.2700000e+02 2.2983432e+00 1.3550455e+00 2.1491954e+02 
2.2800000e+02 2.3165679e+00 1.3585657e+00 2.2223193e+02 
2.2900000e+02 2.3165679e+00 1.3585657e+00 2.2223193e+02 
2.3000000e+02 2.3165679e+00 1.3585657e+00 2.2223193e+02 
2.3100000e+02 2.3337500e+00 1.3621487e+00 2.2957209e+02 
2.3200000e+02 2.3337500e+00 1.3621487e+00 2.2957209e+02 
