#ele Pos(m) X_aper(m) Y_aper(m) x(m) xp(rad) y(m) yp(rad) p(rad) W(MeV)
422 1.22 0.0118 0.05 0.0121208 0.00789341 0.00533208 0.0143555 2.76729 0.182624
422 1.22 0.0118 0.05 0.0137975 0.0151651 -0.00415144 0.00488193 -34.8228 0.182626
422 1.22 0.0118 0.05 -0.0144451 -0.0194524 0.00876286 0.00149662 61.7096 0.182626
422 1.22 0.0118 0.05 -0.0153965 -0.0155941 0.00270872 -0.00708974 33.567 0.182627
422 1.22 0.0118 0.05 0.0151625 0.018626 -0.00616401 0.0029569 -50.4765 0.182627
422 1.22 0.0118 0.05 0.012159 0.010239 0.00235546 0.0110123 -11.9031 0.182628
422 1.22 0.0118 0.05 0.0142297 0.0121251 0.00154315 0.0117381 -14.717 0.182627
422 1.22 0.0118 0.05 0.0137226 0.0122566 0.00129418 0.0108883 -17.3709 0.182625
422 1.22 0.0118 0.05 0.0143589 0.0175775 -0.00677433 0.00251953 -47.528 0.182633
422 1.22 0.0118 0.05 -0.0162764 -0.016325 0.00212772 -0.00827458 34.0696 0.182634
422 1.22 0.0118 0.05 -0.0131913 -0.0199466 0.011649 0.00604666 70.1491 0.182627
422 1.22 0.0118 0.05 -0.0151046 -0.0177156 0.0053666 -0.00319614 48.0783 0.182625
422 1.22 0.0118 0.05 -0.0142093 -0.0116898 -0.00162185 -0.0114389 14.1197 0.182635
422 1.22 0.0118 0.05 0.0126525 0.0116836 -0.00221631 0.00686321 -18.6205 0.182626
422 1.22 0.0118 0.05 -0.0164681 -0.0192384 0.00657034 -0.003188 51.7562 0.182628
422 1.22 0.0118 0.05 0.0137292 0.0116866 0.0021615 0.0116594 -14.0413 0.182634
422 1.22 0.0118 0.05 0.0156075 0.0143201 0.000331477 0.0109843 -22.1114 0.182624
422 1.22 0.0118 0.05 -0.0141813 -0.0186045 0.00873626 0.000775165 57.185 0.182627
422 1.22 0.0118 0.05 0.0128757 0.0131869 -0.00368966 0.00542682 -26.682 0.182627
422 1.22 0.0118 0.05 -0.0166441 -0.0193802 0.00627482 -0.00374083 51.9765 0.182633
422 1.22 0.0118 0.05 0.0148046 0.0185961 -0.00714012 0.00197685 -51.5715 0.182632
422 1.22 0.0118 0.05 -0.0151461 -0.0161312 0.00437891 -0.0052594 37.5731 0.182628
422 1.22 0.0118 0.05 -0.0125023 -0.0152704 0.00466899 -0.00198656 43.2535 0.182625
422 1.22 0.0118 0.05 0.0142302 0.0140265 -0.00185375 0.00789693 -26.1994 0.182626
422 1.22 0.0118 0.05 0.0133943 0.0156685 -0.00584561 0.00312832 -39.8528 0.182625
422 1.22 0.0118 0.05 -0.0140464 -0.0172921 0.00761018 -0.00110286 49.6588 0.182625
422 1.22 0.0118 0.05 -0.0119312 -0.0131882 0.00548259 -0.00302723 32.7988 0.182626
422 1.22 0.0118 0.05 -0.0136609 -0.0122888 0.000683494 -0.00872331 20.1167 0.182623
422 1.22 0.0118 0.05 0.0150027 0.0180824 -0.0064213 0.0032364 -47.8747 0.18263
422 1.22 0.0118 0.05 -0.0164591 -0.0192055 0.00634187 -0.00326076 51.5472 0.182627
422 1.22 0.0118 0.05 0.0156045 0.0170399 -0.00259818 0.00724034 -38.6897 0.182623
422 1.22 0.0118 0.05 0.0153937 0.0172196 -0.00350352 0.00631937 -40.8475 0.182637
422 1.22 0.0118 0.05 0.0123323 0.0167479 -0.00698062 -0.000250899 -51.1166 0.182645
422 1.22 0.0118 0.05 -0.0141776 -0.0127589 0.000494744 -0.00904241 20.7333 0.182624
422 1.22 0.0118 0.05 0.013784 0.0179888 -0.00693407 0.00123362 -52.046 0.182625
422 1.22 0.0118 0.05 -0.0123632 -0.00864772 -0.00324266 -0.0120325 2.72216 0.182632
422 1.22 0.0118 0.05 0.0129556 0.0181078 -0.00859894 -0.000928925 -56.2597 0.182624
422 1.22 0.0118 0.05 0.0129738 0.0151626 -0.00597364 0.00294815 -38.4412 0.182627
422 1.22 0.0118 0.05 -0.0142312 -0.0182975 0.00697497 -0.000434578 55.2229 0.182624
422 1.22 0.0118 0.05 0.0120461 0.0122085 -0.0039124 0.00476088 -24.3565 0.182626
422 1.22 0.0118 0.05 0.0139491 0.0188153 -0.00834056 0.000109914 -56.2785 0.182625
422 1.22 0.0118 0.05 -0.0128761 -0.00966187 -0.00276209 -0.0118804 6.85588 0.182635
422 1.22 0.0118 0.05 0.0135825 0.0110165 0.00229441 0.0118627 -10.5578 0.182631
422 1.22 0.0118 0.05 0.0120286 0.0104273 0.00158965 0.00990144 -13.5705 0.182641
422 1.22 0.0118 0.05 -0.017458 -0.0194953 0.00501892 -0.00538165 49.2579 0.182624
422 1.22 0.0118 0.05 0.0142869 0.014717 -0.00145729 0.00779962 -30.3763 0.182626
422 1.22 0.0118 0.05 0.0139815 0.0144305 -0.00280561 0.00664866 -29.9302 0.182625
422 1.22 0.0118 0.05 0.0125907 0.0131251 -0.00398798 0.00481001 -27.5786 0.182625
422 1.22 0.0118 0.05 -0.0121965 -0.0101996 0.000800087 -0.00804247 12.8511 0.182641
422 1.22 0.0118 0.05 0.0118787 0.0138768 -0.00590506 0.00260575 -35.1164 0.182628
422 1.22 0.0118 0.05 0.0120236 0.0124905 -0.00393923 0.00529803 -26.3088 0.182641
422 1.22 0.0118 0.05 -0.0165198 -0.0190705 0.00523703 -0.00420678 50.4328 0.182624
422 1.22 0.0118 0.05 0.0123105 0.01638 -0.0074302 0.000147413 -48.4557 0.182625
422 1.22 0.0118 0.05 -0.0141003 -0.0176567 0.00629851 -0.0013435 51.6612 0.182625
422 1.22 0.0118 0.05 0.0121747 0.0178306 -0.010026 -0.00251949 -57.6756 0.182635
422 1.22 0.0118 0.05 0.0123428 0.0178299 -0.00890564 -0.00201092 -57.1948 0.182627
422 1.22 0.0118 0.05 -0.0148101 -0.0171472 0.00633291 -0.00302257 45.3135 0.182637
422 1.22 0.0118 0.05 -0.0171086 -0.0217102 0.00853941 -0.000740582 64.2296 0.182645
422 1.22 0.0118 0.05 -0.0156228 -0.0180181 0.00435416 -0.00448773 47.3986 0.182634
422 1.22 0.0118 0.05 0.0133222 0.0189675 -0.00913504 -0.00146977 -59.7198 0.182624
422 1.22 0.0118 0.05 -0.0128566 -0.0102225 -0.00111444 -0.0101935 10.6571 0.182624
422 1.22 0.0118 0.05 0.013706 0.0124163 -0.000747175 0.00883625 -18.7472 0.182624
422 1.22 0.0118 0.05 -0.0137042 -0.0146787 0.0021117 -0.00621898 34.8197 0.182629
422 1.22 0.0118 0.05 0.0118381 0.0167286 -0.00762585 -0.00134184 -52.7648 0.182636
422 1.22 0.0118 0.05 -0.0148027 -0.0134343 -0.000237061 -0.010102 22.5976 0.182623
422 1.22 0.0118 0.05 0.0127236 0.0106039 0.0024705 0.0115474 -11.6125 0.182631
422 1.22 0.0118 0.05 0.0141787 0.0145973 -0.00141012 0.00785607 -29.7793 0.182624
422 1.22 0.0118 0.05 0.0154588 0.0188499 -0.00544082 0.00386411 -50.4383 0.182627
422 1.22 0.0118 0.05 -0.0159275 -0.0177919 0.00521209 -0.00454653 44.8124 0.182626
422 1.22 0.0118 0.05 -0.0142005 -0.0137492 0.00202667 -0.0076877 26.5878 0.182646
422 1.22 0.0118 0.05 -0.0126493 -0.0183547 0.0102131 0.00417414 62.3591 0.182628
