# X[mm] xp[rad] Y[mm] yp[rad]
2.5609566959e+00 -8.9242467482e+01 -2.0559428587e+00 8.5545593816e+01
4.3897163860e-01 2.7171597982e+00 -3.2648437933e-01 -5.9458337929e-01
2.2016031900e+00 -1.0039346058e+02 -1.8384231909e+00 8.1972258273e+01
-9.2697144292e-01 3.7860593064e+01 -3.0334572663e-01 5.9979121949e-01
-1.7147134613e+00 -6.8195523858e+00 1.3200111287e+00 -3.8764238317e+01
3.0936027447e-01 -3.8172981244e+01 -4.9972321017e-01 2.4693508522e+01
-3.0587605826e+00 8.0088473749e+01 1.8841982265e+00 -7.7875761349e+01
-7.2037033539e-01 1.7757228799e+01 5.1956274032e-02 -4.3617272411e+00
2.7514506084e+00 -6.2017934635e+01 -1.8058411639e+00 5.7670505722e+01
3.5945614362e-01 -2.0016947029e+01 -9.6670005310e-03 1.2983298257e+01
4.2665273462e+00 -6.4152845690e+01 -3.6952677138e+00 8.2579140580e+01
-2.6377227756e+00 8.5591812119e+01 1.5158774094e+00 -9.7439724036e+01
2.1891725213e+00 -9.6667991625e+00 -2.1819231016e+00 3.1992350463e+01
-2.1379894101e+00 1.1858531894e+01 1.4285478268e+00 -4.5733486441e+01
-3.1550208750e+00 7.3449181613e+01 1.9560102018e+00 -6.7584144123e+01
8.7587036557e-01 -2.5190955288e+01 6.9388809097e-02 1.1814768422e+01
-2.4988835116e+00 8.8965261604e+01 2.0856396588e+00 -8.3830114039e+01
-3.0750767984e+00 9.1012429306e+01 2.4256513549e+00 -7.6276460319e+01
-2.6815009999e+00 7.2558408753e+01 1.6063705985e+00 -9.2311469599e+01
-1.9858976395e+00 5.5977912436e+01 5.6272257451e-01 -1.4458701420e+01
-5.2369332386e-01 3.3657256849e+00 9.7527397650e-01 -1.0777272411e+01
-1.5221940891e+00 4.4949195700e+01 7.0475462035e-01 -1.6817101408e+01
2.8301583285e+00 -5.7070937744e+01 -1.1106470897e+00 3.7513035838e+01
-1.3181305435e+00 4.4310399085e+01 -6.0901637422e-01 5.7852415137e+00
4.2917726598e+00 -6.3017038629e+01 -3.8013892870e+00 8.4024235623e+01
-8.1495632824e-01 2.0499603766e+01 -6.8109266516e-03 -6.3809442656e+00
-2.8573675313e+00 8.0970775702e+01 2.0903388548e+00 -5.2299405786e+01
7.2901688453e-01 -2.5585599358e+01 -1.1087320030e-01 5.1106699769e+00
1.4808679391e+00 -8.8774349509e+01 -1.1492078226e+00 5.6148302512e+01
-6.0975499221e-01 -2.3480441193e+01 9.9193576503e-01 -2.1877222175e+01
3.3108231116e+00 -8.6384326965e+01 -2.8695224515e+00 9.9253013368e+01
2.1363839664e+00 -7.6754982243e+01 -1.6426415616e+00 6.8391909852e+01
-2.0565540121e+00 4.2288150126e+01 7.0692951268e-01 -2.1020536408e+01
-1.8563586896e+00 5.2643343045e+01 9.8084102566e-01 -2.2069163561e+01
-1.3376415169e+00 -8.4062886897e+00 1.4228667371e+00 -3.9854486529e+01
2.9713025127e+00 -2.1802224962e+01 -5.3330359390e+00 8.4621903051e+01
-2.7239252415e+00 8.2944859389e+01 2.1883991333e+00 -9.1877616041e+01
-3.2139216403e+00 6.4539579873e+01 1.2746281840e+00 -4.0467640668e+01
-2.9346979639e+00 1.0230385161e+02 2.2917603033e+00 -7.5109913747e+01
