# X[mm] xp[mrad] Y[mm] yp[mrad]
8.6268573781e-02 8.1970168811e+01 -2.0358828075e-01 1.3026584726e+01
1.0672932887e-02 -7.7279744264e+01 2.0240400294e-01 -7.0363302072e+00
-8.9151054075e-02 -3.2185145131e+01 3.0888970040e-01 -2.3680404827e+01
-1.1035768180e+00 -2.3737614672e+01 6.8508706231e-02 -3.1253481662e+01
-2.9139006132e-02 2.7127046694e+01 -1.7832091740e-01 3.4393937518e+01
6.4157717229e-02 -1.5896064521e+01 7.6135769871e-02 2.1725056838e+01
-1.2868336873e+00 5.4909895424e+01 -2.2254867769e-01 -7.9415605163e+01
5.3886095850e-02 -6.5696603451e+01 3.1693504365e-01 7.9506895428e+01
1.0108592743e+00 1.1117557037e+02 -5.7415791602e-01 -7.8215373104e+01
-1.2608657921e+00 -1.3873104111e+01 1.7281249245e-01 -8.1052755306e+00
-1.2551532125e-01 5.9574387362e+01 -3.4972341617e-01 -1.9690136399e+01
-9.2201913122e-01 -1.1616437001e+02 5.9796600540e-01 9.0400207337e+01
9.7959437283e-01 1.2602579238e+02 -6.4290168476e-01 -9.1975348664e+01
-1.5296008283e-01 -2.9791502291e+01 3.7212178989e-01 -1.5663007345e+01
-2.1494129752e-01 8.3185654803e+00 2.8309289976e-01 5.4959970819e+00
-9.4775962593e-01 6.2755793109e+01 -3.7821778312e-01 -8.5117897556e+01
1.1205359308e+00 7.9614733204e+01 -4.2686547606e-01 -4.2482028366e+01
-1.2070440297e+00 7.7543482566e+00 4.7724711330e-02 -2.4864675080e+01
9.3730762929e-01 -6.1986297983e+01 2.7653041168e-01 6.5431771590e+01
8.8088435565e-01 -6.4093627112e+01 4.3669573458e-01 8.8881095862e+01
4.0819177847e-01 2.6330876573e+01 -3.4296302554e-01 -8.6079058572e+00
-1.2595862630e+00 3.2828530884e+01 -1.8041269192e-01 -5.9674145459e+01
-5.7003024236e-01 1.5771821954e+01 1.0614043780e-01 -1.9907269446e+01
-1.0442263055e+00 5.0245420375e+01 -1.6772135856e-01 -5.3077657867e+01
1.2024127362e+00 -4.3944026509e+01 2.3669002506e-01 7.3026351097e+01
-1.3532262265e+00 -2.8561004956e+01 1.7419279457e-01 -1.2243935878e+01
4.9725497138e-01 -2.9574244373e+01 1.7925151612e-02 2.9825191793e+01
9.5821119060e-01 5.8442890182e+01 -4.0890736939e-01 -3.6091647641e+01
6.4509411030e-01 8.6574565745e+01 -6.2669795467e-01 -8.5644793270e+01
-3.4602670059e-01 5.1048223705e+01 -1.3217213272e-01 -6.5737957652e+00
7.2141745449e-01 -4.9602055649e+01 2.2821175897e-01 3.5385558457e+01
-1.3549097939e+00 -7.6181671166e+01 3.9499566348e-01 2.9860721093e+01
8.3121687930e-01 -2.9719809949e+01 -3.6682130731e-02 2.5871075611e+01
-2.9122535724e-01 7.5908859657e+01 -5.1482847977e-01 -6.0455322868e+01
3.1070307444e-01 -5.3375262266e+01 4.6935952957e-02 4.7398440860e+00
-6.4690879598e-01 -5.3495872280e+01 2.0821766057e-01 2.1113306161e+01
1.2880370044e+00 -4.5469838122e+01 3.3977420421e-01 1.0679024666e+02
-3.7817325122e-01 9.4749921013e+01 -6.1170030564e-01 -1.0356029139e+02
-1.0612119035e+00 6.7524549265e+01 -3.8439997143e-01 -1.0996739252e+02
-9.9461676109e-02 -8.2146852257e+01 6.2283516265e-01 6.7455550613e+01
-1.4232797239e+00 -8.7386605946e+01 4.1197023579e-01 3.0612956082e+01
7.7867342592e-01 -5.4475746653e+01 3.7843873506e-01 5.9370344386e+01
-8.5396136005e-01 4.4059762371e+00 1.9224805653e-01 9.7108996680e-01
7.3293813689e-01 6.9243054612e+01 -5.2997813752e-01 -6.3659040837e+01
-8.9774176430e-01 -5.1002571900e+01 2.0385413197e-01 6.9575671283e+00
-6.2946536557e-01 -1.1017234590e+02 6.2598909228e-01 9.6109445768e+01
-7.0852875506e-01 2.4783351746e+01 1.4852049690e-01 -9.3985111681e+00
8.1799735299e-01 7.8253140587e+01 -5.4726454171e-01 -6.3627796855e+01
-2.7483435147e-01 -1.2749008877e+02 2.4546603502e-01 2.0068889946e+01
1.2193726584e+00 -2.4931755368e+01 1.3585757157e-01 5.5051272883e+01
-7.2336405323e-01 6.6944698101e+01 -3.5222332009e-01 -1.0936802638e+02
-4.4618910935e-01 -8.0771139360e+01 6.5199117619e-01 7.7882907173e+01
-1.4028214437e+00 3.2373925421e+01 -1.9271517805e-01 -9.0905041964e+01
-1.1692534380e-01 9.6273341375e+01 -6.5065646353e-01 -9.3306597638e+01
-8.1232264322e-01 -1.3314015067e+02 7.0802469280e-01 1.0966201191e+02
5.7993231966e-01 -2.7555902265e+01 -8.1569133150e-02 2.0916599014e+01
4.3816699261e-01 5.9737359302e+01 -5.6395374969e-01 -4.7648105322e+01
1.1586544826e+00 -5.4873214379e+01 3.0968553950e-01 8.0152528029e+01
1.1358882962e+00 2.6307914539e+01 -2.1444762076e-01 1.3953529956e+00
-8.6383487192e-01 -6.5049859139e+01 4.7060416183e-01 5.1325261248e+01
5.0624731865e-01 1.1607192979e+02 -6.6993818702e-01 -1.0539265953e+02
1.3718069397e-01 4.9708689364e+01 -4.3371650544e-01 -1.9156604734e+01
3.2814211865e-01 8.2751349274e+01 -6.4989016530e-01 -7.3587687053e+01
2.5636279231e-01 -7.6304417480e+01 5.3723909879e-01 6.2091185401e+01
-1.5199053194e+00 -5.4802583809e+01 2.6318024923e-01 -3.7509414638e+00
1.2209733815e+00 -2.9522505670e+01 2.4406901045e-01 1.0026558218e+02
-1.3791222537e+00 -4.1023803412e+00 3.2068058503e-02 -3.6715155956e+01
1.0014644123e+00 8.7288113777e+01 -3.7417636475e-01 -4.3068914568e+01
1.5168160955e+00 4.3951588821e+01 -1.3554121413e-01 2.4197646235e+01
1.0557408279e+00 4.2541605376e+00 6.5312814253e-02 5.8168588813e+01
-1.2998874048e+00 -4.6633780383e+01 1.7512056240e-01 -1.3748143930e+01
-3.4470082416e-01 4.6190955937e+00 3.8748551005e-01 -3.7024966560e+01
-2.2418509645e-01 -2.6619360692e+01 2.2286588635e-01 1.0595351028e+01
3.9263088024e-01 -5.2036657898e+01 2.8153932629e-01 8.2876192531e+01
-1.1703539068e+00 4.2663965603e+01 -2.2767990249e-01 -7.4940166707e+01
9.4630578100e-01 8.9501584904e+01 -5.2301405363e-01 -6.0743014981e+01
7.0598060023e-01 5.3189180267e+01 -4.7061232755e-01 -5.0930210583e+01
2.7471507927e-01 4.5935108244e+01 -3.8639125154e-01 -2.3216042501e+01
1.0294505882e+00 -4.8448580718e+01 2.3200074927e-01 5.9292734724e+01
-1.1360329352e+00 4.7061258089e+01 -2.6520590920e-01 -7.0391617694e+01
-6.8617644772e-01 -9.3178288405e+01 6.5567081949e-01 8.7502342605e+01
1.0526849764e+00 1.0614375867e+02 -5.5728665846e-01 -7.1705430120e+01
-1.2701746470e+00 1.2320413824e+01 -2.0819363807e-02 -3.6064232907e+01
4.9218506956e-01 -3.7126369537e+01 8.1161420921e-02 3.1449553640e+01
1.3585211994e+00 2.0351360386e+01 -1.0173831881e-02 4.9696511424e+01
-1.0566034624e+00 1.5324157016e+01 5.9103281536e-02 -1.9147057435e+01
-1.5260541621e-02 -7.8872901920e+01 5.9193173945e-01 6.2268906965e+01
4.1947273996e-01 -8.5967873115e+01 5.6447324475e-01 9.3059424628e+01
1.3170559671e+00 5.1548521099e+01 -1.7103011726e-01 1.5283619398e+01
-7.0857826233e-01 -2.9325242880e+01 3.9779272869e-01 3.7177670776e+01
1.4086110385e+00 -1.7906403344e+01 2.0142411141e-01 8.9781186912e+01
1.4859113527e+00 4.5223241170e+01 -1.0826500539e-01 3.0638024076e+01
-6.4865628553e-01 -9.7782545610e+01 6.7234820652e-01 9.1638751034e+01
-1.8834724143e-01 6.8182347533e+01 -4.8480835661e-01 -4.4580078035e+01
9.8415886905e-02 -2.3210374843e+01 1.6017526637e-01 -2.8217423068e+01
-5.2524666147e-01 -9.2857929861e+01 6.8498209196e-01 7.3823849781e+01
1.2226153292e+00 -5.1006600812e-01 -4.3707433623e-02 3.3560449644e+01
-1.1146353177e+00 -2.5808218828e+00 1.8106157337e-01 -1.0178793001e+01
1.1837170303e+00 -5.1025115046e+01 3.1794672607e-01 8.9891842471e+01
5.8374802755e-02 1.0186909956e+02 -4.6125679954e-02 -2.5377539297e+01
-6.5516366758e-01 -6.9990251233e+01 5.4807233308e-01 7.1490112578e+01
9.3281172008e-01 -3.6367110715e+00 -1.4824627971e-01 9.0236154897e+00
-1.0975150527e+00 2.2891217539e+01 -1.5264575536e-02 -2.8851240862e+01
-5.5612559042e-01 2.8117396315e+01 9.6719384570e-02 -1.1769156633e+01
