# x[mm] y[mm]
5.2611804363e+00 -5.1033391613e+00
-6.7618905950e+00 -1.3911783975e+00
4.9363369181e+00 -2.7806818121e-01
3.7500780663e+00 -1.0690338995e-02
-8.3130901809e+00 -1.1231538040e+00
1.1255034298e+01 3.5337587110e+00
-4.4173536561e+00 8.6950615858e+00
-1.6978325489e+00 1.0910670940e+01
-2.4564515962e+00 -5.8114701203e+00
-1.6026282012e+00 -7.3323562370e+00
2.2408375568e+00 5.2069225506e+00
2.8496418941e+00 -5.5051682029e+00
-9.7642252147e+00 8.7245503649e+00
-9.7979704551e+00 1.0824191725e+01
8.3791569733e+00 -4.1814790648e+00
9.5001420065e-01 -1.0666935044e+00
-4.2594446241e+00 4.2462083100e+00
4.8759990559e+00 -1.0560640978e+01
9.8955467810e+00 3.9141604657e+00
-1.0787503381e+00 2.9565458626e-01
-7.2238393779e+00 8.3534093768e+00
8.8524737703e+00 3.5762115940e+00
5.0406271178e+00 -4.4475892567e-01
1.0468363635e+01 -5.8839765697e+00
-8.1327244881e+00 6.8477239246e+00
-1.9476534137e+00 6.4350922614e+00
-8.8497503654e-01 -7.8544663569e+00
8.9368389948e+00 2.9053846802e+00
3.0381878482e+00 -4.8755620149e-01
5.8101797030e+00 -1.1650155973e+01
7.6785717286e+00 3.7558482754e+00
2.5456812829e+00 -8.2544895262e+00
-3.0108989914e+00 -1.0240582377e+01
-1.4835895085e+00 5.2418705704e+00
1.0622049153e+01 -8.7596720290e+00
8.6489393470e+00 -7.4968858467e+00
7.2757730708e+00 -1.6616219413e+00
-6.6410081852e+00 6.7437398241e+00
-5.9420190881e+00 8.7721656402e+00
4.2685807969e-01 8.6035553104e+00
9.2184879501e+00 -1.0472277643e+01
3.1400993556e+00 2.6410312056e+00
-8.4094607936e+00 -4.3386261036e+00
1.0989776817e+01 2.5335387251e+00
-4.1271176859e+00 7.3467300294e+00
6.5922795274e+00 -1.0602417989e+01
-4.2542111135e+00 -8.6230177247e+00
-4.4977496559e+00 -9.5070006736e+00
5.7582802810e+00 -1.0047043398e+01
-1.0669306118e+01 9.0887658381e+00
3.8975623307e+00 7.5092518617e-02
-4.2077873591e+00 -1.6251465500e-01
-3.5904274934e+00 -7.2563749281e-01
2.3803185058e+00 -6.5123357715e+00
1.0247839027e+01 5.1999805960e+00
2.8632992507e+00 -7.1762928368e+00
-6.6741531565e+00 2.1480531585e+00
-7.9547341674e-01 4.3044852111e+00
3.6365292054e+00 -1.0872318307e+01
4.4490435273e+00 -2.0259750826e+00
1.5769892308e+00 3.5148927391e-02
1.9208924901e+00 7.5927623025e+00
5.8036927507e+00 -6.5500666528e+00
-4.6548359235e+00 6.1736985240e+00
3.6043458066e-01 -7.6989974623e+00
-4.1634596250e+00 9.0263217994e+00
