# X[mm] xp[rad] Y[mm] yp[rad]
3.2644189329e+00 -5.1309784422e+01 -1.4676664110e+00 3.4579289026e+01
-2.1813832643e+00 1.5918653673e+01 1.3216487401e+00 -4.5536420013e+01
-2.2154738703e+00 4.6827462697e+01 8.2225618953e-01 -2.3571395661e+01
-2.4569492095e+00 2.8676887297e+01 1.2320201476e+00 -4.0944383532e+01
3.6109982043e+00 -3.0559337894e+01 -3.9368029784e+00 6.3951490680e+01
-6.1284226432e-01 -3.1042129482e+01 4.4724342541e-01 -5.7181932606e+00
-8.0556311888e-01 1.0204439441e+01 6.8595785841e-01 -1.3133875598e+01
-2.0227524687e+00 5.3738330626e+01 1.4627391167e+00 -3.1362794544e+01
-2.4344603301e+00 7.6052979307e+01 2.5027960443e+00 -7.4385783178e+01
-8.0288300862e-01 1.0594859771e+01 1.1391894688e+00 -1.6258396499e+01
2.7775616241e+00 -3.0774097447e+01 -1.5921214784e+00 3.0533800983e+01
5.6347000124e-01 -6.7472016591e+01 -4.5761595428e-01 2.8523488956e+01
2.3099559626e+00 -1.7219850607e+01 -1.3916008368e+00 1.9873776938e+01
-2.8864739909e+00 5.5854942986e+01 1.6952793384e+00 -5.1540053345e+01
2.5163670634e+00 -2.7359839739e+01 -8.4740931372e-01 1.0093912945e+01
1.3946449561e+00 -4.7028730972e+01 -3.4942032597e-01 1.3379149929e+01
4.0457108076e+00 -3.9961655501e+01 -5.6964350364e+00 1.0008219285e+02
-2.5227295191e+00 7.6789454087e+01 1.7375997259e+00 -9.6299061058e+01
-2.2770938708e+00 5.1731519077e+01 1.1761845788e+00 -9.4198203470e+01
2.5492635376e+00 -6.2600729484e+01 -1.6958056174e+00 5.7312132125e+01
6.0291076414e-01 -7.5728169037e+01 -3.8531608553e-01 2.9322714271e+01
3.1597242446e+00 -3.7669437774e+01 -2.6714268620e+00 5.3676383815e+01
-9.3410002449e-01 -4.4222124301e+00 1.1288842658e-01 2.0942275283e+00
-2.2496499997e+00 6.2189473824e+01 2.1762649767e+00 -5.2697675044e+01
8.6171105593e-01 -4.5607829729e+01 1.9544106875e-01 2.1957976304e+00
2.3320878023e+00 -9.5993085871e+01 -2.0242285329e+00 8.8001577792e+01
-1.5695993714e+00 1.4425145739e+01 3.6151531973e-01 -4.3584772548e+00
-2.5257135076e+00 6.9476522943e+01 2.2564621196e+00 -5.5733235215e+01
-4.5056664914e-02 9.1564273365e-01 5.0467384937e-02 -9.7048605241e-01
2.5309685236e+00 -1.3729321367e+01 -3.0419583864e+00 4.6382048843e+01
-1.9628230504e+00 5.5864998452e+01 1.3667682103e+00 -9.4474108570e+01
1.9977645933e+00 -6.7556602123e+01 -1.8255243286e+00 6.7004492798e+01
-2.2405221550e+00 2.1131715595e+01 1.3761640439e+00 -7.0410558578e+01
-2.7881899396e+00 7.7644104910e+01 2.0491342617e+00 -8.4738966726e+01
1.5204625413e+00 -2.6104597670e+01 1.1587320514e+00 -1.6316251926e+01
-1.0342331141e+00 2.6891730045e+01 -2.1242886749e-01 -2.3218012078e+00
-2.1932141894e+00 4.8108753022e+01 1.7445378124e+00 -4.0875747175e+01
4.0598702444e+00 -3.9570845316e+01 -4.1607769172e+00 7.1898270621e+01
-4.9852185343e-01 2.7509955949e+01 -1.6570578904e-01 -1.0882470196e-01
1.2235302182e+00 -5.9400404429e+01 -1.1422632303e+00 4.2429592948e+01
-2.2954491436e+00 1.0040087365e+02 1.9607347402e+00 -9.8482582136e+01
-3.1098160363e+00 7.0389175287e+01 3.1328273657e-01 -8.8508904749e+00
-2.7089626752e+00 6.6643632775e+01 2.2688405955e+00 -6.4136755494e+01
3.0120808473e+00 -5.6064158435e+01 -1.8699659411e+00 5.2419982255e+01
-2.8696230131e-01 -5.0197882564e+01 3.0009286053e-01 1.8020900218e+00
3.2549681133e+00 -2.7781010642e+01 -5.6029666239e+00 9.1745615758e+01
-1.3586558504e+00 -1.2114821781e+01 9.3904279895e-01 -2.4582345882e+01
-2.7453579789e+00 7.6250758942e+01 1.4274311911e+00 -3.6220224673e+01
-9.0761738120e-01 3.7937585748e+01 -1.3887430243e+00 1.7531953405e+01
1.0960284883e+00 2.0303290880e+00 -3.4621985729e+00 5.0667541685e+01
-7.2662480843e-02 -4.3185692968e+01 5.4055341212e-01 -7.6001540197e+00
-2.2093461490e+00 4.8650824723e+01 2.6708564216e-01 -1.7712429304e+00
2.3064036092e+00 -2.0118944974e+01 -1.2685956794e+00 1.7508882861e+01
3.1457527053e+00 -4.8712062035e+01 -3.8938149480e+00 7.5202021965e+01
-2.3067104714e+00 2.6680336418e+01 1.4787967495e+00 -5.8935027108e+01
-2.8062752729e+00 7.8295662125e+01 2.1822152974e+00 -5.5330939824e+01
-1.8096022657e+00 4.9144783044e+01 1.8121910773e+00 -4.0464379304e+01
1.8542174431e-01 -1.3300890282e+01 7.0878033844e-02 1.0897719407e+01
3.3802902035e+00 -3.0685643182e+01 -3.0540024807e+00 5.1560749629e+01
-2.4081254369e+00 2.8475201931e+01 1.4911123549e+00 -5.6653233351e+01
1.8650373748e+00 -8.1213902065e+01 -1.8432660283e+00 7.8258493335e+01
-2.8912855710e+00 9.2164543193e+01 2.3316186995e+00 -6.7230446902e+01
-1.6348392471e+00 -9.1420626459e-01 9.3218248406e-01 -2.5059626256e+01
-3.1893500455e+00 6.3153690771e+01 2.5397120753e-01 -9.4613605409e+00
3.6137022629e-01 1.7413774186e+01 -2.9496341830e+00 4.0582041209e+01
