# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] 
4.0096385542e-02 5.5160423542e+00 6.6270995171e+00 1.4857000000e+04 6.3888677055e+01 1.1367121780e+00 1.6436042268e+00 2.6979673339e+03 1.3055760078e+00 1.0498304845e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
4.1349397590e-02 5.5081083799e+00 6.6217974878e+00 1.4857000000e+04 6.3888677055e+01 1.1334442376e+00 1.6409753789e+00 2.7822788130e+03 1.3025948992e+00 1.0482277753e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
4.2602409639e-02 5.5001811369e+00 6.6164993200e+00 1.4857000000e+04 6.3888677055e+01 1.1301837678e+00 1.6383505471e+00 2.8665902922e+03 1.2996137905e+00 1.0466250661e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
4.3855421687e-02 5.4922606546e+00 6.6112050229e+00 1.4857000000e+04 6.3888677055e+01 1.1269307688e+00 1.6357297312e+00 2.9509017714e+03 1.2966326819e+00 1.0450223569e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
4.5108433735e-02 5.4843469620e+00 6.6059146059e+00 1.4857000000e+04 6.3888677055e+01 1.1236852404e+00 1.6331129315e+00 3.0352132506e+03 1.2936515733e+00 1.0434196477e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
4.6361445783e-02 5.4764400887e+00 6.6006280783e+00 1.4857000000e+04 6.3888677055e+01 1.1204471827e+00 1.6305001477e+00 3.1195247298e+03 1.2906704647e+00 1.0418169385e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
4.7614457831e-02 5.4685400643e+00 6.5953454495e+00 1.4857000000e+04 6.3888677055e+01 1.1172165957e+00 1.6278913801e+00 3.2038362089e+03 1.2876893560e+00 1.0402142293e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
4.8867469880e-02 5.4606469185e+00 6.5900667288e+00 1.4857000000e+04 6.3888677055e+01 1.1139934794e+00 1.6252866284e+00 3.2881476881e+03 1.2847082474e+00 1.0386115202e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0120481928e-02 5.4527606811e+00 6.5847919257e+00 1.4857000000e+04 6.3888677055e+01 1.1107778337e+00 1.6226858928e+00 3.3724591673e+03 1.2817271388e+00 1.0370088110e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.1373493976e-02 5.4448813822e+00 6.5795210495e+00 1.4857000000e+04 6.3888677055e+01 1.1075696587e+00 1.6200891732e+00 3.4567706465e+03 1.2787460301e+00 1.0354061018e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
