# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] mean_pz[MeV/c] emitt_ emitt_y 
8.0241928353e-03 5.7213114517e+00 6.7640872906e+00 0.0000000000e+00 6.3885551769e+01 1.2248284266e+00 1.7122043304e+00 9.9507059097e-08 8.8566949327e-02 6.9800019056e-02 -5.1533923659e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
8.3328156367e-03 5.7193161343e+00 6.7627571037e+00 0.0000000000e+00 6.3885551769e+01 1.2239760689e+00 1.7115299734e+00 1.0333637467e-07 8.8519878508e-02 6.9774753668e-02 -5.1532850131e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
8.6414384380e-03 5.7173211819e+00 6.7614271368e+00 0.0000000000e+00 6.3885551769e+01 1.2231241636e+00 1.7108558605e+00 1.0715909555e-07 8.8472807688e-02 6.9749488279e-02 -5.1535020727e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
8.9500612394e-03 5.7153265947e+00 6.7600973901e+00 0.0000000000e+00 6.3885551769e+01 1.2222727107e+00 1.7101819918e+00 1.1098940213e-07 8.8425736869e-02 6.9724222891e-02 -5.1533595999e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
9.2586840407e-03 5.7133323733e+00 6.7587678636e+00 0.0000000000e+00 6.3885551769e+01 1.2214217101e+00 1.7095083672e+00 1.1481403314e-07 8.8378666049e-02 6.9698957503e-02 -5.1534732214e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
9.5673068421e-03 5.7113385180e+00 6.7574385576e+00 0.0000000000e+00 6.3885551769e+01 1.2205711619e+00 1.7088349869e+00 1.1864464286e-07 8.8331595230e-02 6.9673692115e-02 -5.1533280852e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
9.8759296435e-03 5.7093450291e+00 6.7561094721e+00 0.0000000000e+00 6.3885551769e+01 1.2197210661e+00 1.7081618507e+00 1.2246808288e-07 8.8284524410e-02 6.9648426727e-02 -5.1534810127e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.0184552445e-02 5.7073519071e+00 6.7547806073e+00 0.0000000000e+00 6.3885551769e+01 1.2188714226e+00 1.7074889587e+00 1.2630259545e-07 8.8237453591e-02 6.9623161338e-02 -5.1531751027e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.0493175246e-02 5.7053591523e+00 6.7534519633e+00 0.0000000000e+00 6.3885551769e+01 1.2180222315e+00 1.7068163108e+00 1.3012708717e-07 8.8190382771e-02 6.9597895950e-02 -5.1532904851e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.0801798048e-02 5.7033667651e+00 6.7521235403e+00 0.0000000000e+00 6.3885551769e+01 1.2171734927e+00 1.7061439071e+00 1.3394920263e-07 8.8143311951e-02 6.9572630562e-02 -5.1534898934e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.1110420849e-02 5.7013747460e+00 6.7507953383e+00 0.0000000000e+00 6.3885551769e+01 1.2163252063e+00 1.7054717476e+00 1.3777252942e-07 8.8096241132e-02 6.9547365174e-02 -5.1536337452e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.1419043650e-02 5.6993830952e+00 6.7494673575e+00 0.0000000000e+00 6.3885551769e+01 1.2154773722e+00 1.7047998323e+00 1.4160263675e-07 8.8049170312e-02 6.9522099785e-02 -5.1535207822e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.1727666452e-02 5.6973918132e+00 6.7481395980e+00 0.0000000000e+00 6.3885551769e+01 1.2146299905e+00 1.7041281612e+00 1.4543938612e-07 8.8002099493e-02 6.9496834397e-02 -5.1531772417e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.2036289253e-02 5.6954009004e+00 6.7468120600e+00 0.0000000000e+00 6.3885551769e+01 1.2137830612e+00 1.7034567342e+00 1.4926085913e-07 8.7955028673e-02 6.9471569009e-02 -5.1533730105e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.2344912054e-02 5.6934103571e+00 6.7454847436e+00 0.0000000000e+00 6.3885551769e+01 1.2129365842e+00 1.7027855514e+00 1.5308751439e-07 8.7907957854e-02 6.9446303621e-02 -5.1533949789e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.2653534856e-02 5.6914201838e+00 6.7441576489e+00 0.0000000000e+00 6.3885551769e+01 1.2120905596e+00 1.7021146127e+00 1.5691675063e-07 8.7860887034e-02 6.9421038233e-02 -5.1533319348e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.2962157657e-02 5.6894303808e+00 6.7428307760e+00 0.0000000000e+00 6.3885551769e+01 1.2112449873e+00 1.7014439182e+00 1.6073877538e-07 8.7813816215e-02 6.9395772844e-02 -5.1535007195e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.3270780458e-02 5.6874409485e+00 6.7415041251e+00 0.0000000000e+00 6.3885551769e+01 1.2103998674e+00 1.7007734679e+00 1.6456274898e-07 8.7766745395e-02 6.9370507456e-02 -5.1535924421e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.3579403260e-02 5.6854518873e+00 6.7401776964e+00 0.0000000000e+00 6.3885551769e+01 1.2095551998e+00 1.7001032618e+00 1.6839391596e-07 8.7719674576e-02 6.9345242068e-02 -5.1534673468e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
