 x [cm]	x' [rad]	y [cm]	y' [rad]	Phase [rad]	Kinetic Energy [MeV]	Charge State	Rest Mass [GeV/c2]
    0.167518605876220E-01	    0.290913894955818E-01	   -0.469349376249380E-01	   -0.208574499814961E-02	    0.445772006610725E+02	    0.181969075606858E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.781825639828613E-01	    0.164021174285580E-01	    0.190668127673253E-01	   -0.431999656889849E-02	   -0.385677147897025E+02	    0.183100697121574E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.235803351930984E-01	    0.440154921943042E-01	   -0.423830320437046E-01	   -0.327096655337478E-01	    0.275686599898474E+02	    0.182560643484209E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.113785010667497E+00	    0.283497648214200E-01	    0.154316161906668E-01	   -0.416486147729261E-01	   -0.556602512308315E+02	    0.183348961737551E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.293769054247370E-01	   -0.952682831081819E-01	    0.464471263650221E-01	    0.799296397960965E-01	    0.223558972855909E+02	    0.182605534460478E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.379825538179200E-01	    0.551082442892113E-01	   -0.298794820187883E-01	   -0.284327921834654E-01	    0.189006293815036E+01	    0.182616940968217E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.258641491378742E-01	   -0.320583487043640E-01	    0.299599857746535E-01	   -0.734712134988292E-02	   -0.108677926800332E+02	    0.182505390480259E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.582638604843127E-01	   -0.719683611215741E-01	    0.293704188390925E-01	    0.558752253375613E-01	    0.253674615049697E+02	    0.182577269631778E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.536432621102436E-01	   -0.630930042225473E-01	    0.138740492117972E-01	    0.166984191546105E-01	    0.165387906803938E+02	    0.182686146482425E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.100505809395143E+00	   -0.117998438811729E-01	    0.323482705382270E-01	   -0.130219170438671E-01	   -0.568307914845524E+02	    0.183463666770578E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.613479732128526E-01	   -0.470382323013301E-01	   -0.866141244582612E-02	    0.207836179598477E-01	    0.460047424961242E+02	    0.182038991523470E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.225623008906817E-01	   -0.352238420425318E-01	    0.550281946327842E-01	    0.577060338625619E-02	   -0.518426566993912E+02	    0.183567251243133E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.430699949901590E-01	   -0.217272338355750E-01	   -0.297702324848228E-02	    0.365047179422994E-01	    0.275317069183039E+02	    0.182563092499421E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.781958771417030E-01	   -0.220818898002609E-02	    0.243376014154441E-01	   -0.277311029112457E-01	   -0.484258577930972E+02	    0.183423887973433E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.344891831945465E-01	   -0.674808324617278E-01	    0.181858792159142E-03	    0.504751223814404E-02	    0.181207206392693E+02	    0.182699164186673E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.426642947033290E-01	   -0.887937405945935E-01	    0.489335783878151E-01	    0.553402554890646E-01	   -0.134662458877707E+02	    0.182665913266433E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.100658499898576E-01	   -0.683347083055041E-01	    0.252969390994017E-01	    0.537457524598677E-01	    0.124029859933558E+02	    0.182682477010587E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.746825197781311E-01	    0.436107806968194E-01	   -0.583499359389379E-02	   -0.261249941629277E-01	   -0.219655637611767E+02	    0.182680904476484E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.747998932163825E-02	   -0.371226432764002E-01	    0.444267309241993E-01	   -0.103462999344192E-01	   -0.299525906329203E+02	    0.182875018927220E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.428941254523608E-01	   -0.699162856560439E-02	    0.320672172731795E-01	    0.156339980215853E-01	   -0.339392526502010E+02	    0.182942596804736E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.793338378734974E-02	   -0.229486341667705E-01	    0.498783166728348E-01	   -0.330870976338164E-01	   -0.496209669698563E+02	    0.183483517394833E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.581855322423907E-01	   -0.402216737353987E-02	    0.296430034040055E-01	    0.747760690383292E-02	   -0.399025865984652E+02	    0.183174735925107E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.106770346311439E-01	    0.495496874578516E-01	   -0.434937909365796E-01	   -0.281115567765078E-01	    0.255697010919351E+02	    0.182600376094300E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.367477057007658E-01	    0.144550704862144E-01	   -0.127179690067274E-01	    0.854370410433059E-02	    0.186435716165724E+02	    0.182727645062997E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.721947784268376E-01	    0.520955970547063E-01	   -0.424801929082395E-01	   -0.225734023526994E-01	    0.446477794969407E+02	    0.182074499786467E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.648743018469798E-01	   -0.615026490077168E-01	    0.244684610963149E-01	    0.775325768225988E-01	    0.543799902874377E+02	    0.182115654208559E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.209002442458246E-01	   -0.343208115328874E-01	    0.443253330781746E-01	    0.273913264914509E-01	   -0.349075845620917E+02	    0.183044842698266E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.554458767978225E-01	    0.541704512924369E-01	   -0.204883220472212E-01	   -0.215189663400006E-01	   -0.630260853279890E+01	    0.182563005111547E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.261769543608220E-01	    0.253785403443155E-01	   -0.396395160658962E-01	   -0.273252589156049E-01	    0.292095809106496E+02	    0.182527711773517E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.655243028953571E-02	    0.325199136483817E-01	   -0.380156179620483E-01	    0.211982206655579E-01	    0.337590623278406E+02	    0.182342126445079E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.688408029345184E-01	   -0.455684492450303E-01	    0.372172088405514E-02	    0.178624526025284E-01	    0.264122076965270E+02	    0.182586462884160E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.325867628337609E-02	    0.798582233073999E-01	   -0.336638006540075E-01	   -0.616967471086017E-01	    0.193713875558100E+01	    0.182612915015312E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.551145756924446E-02	   -0.676064613952400E-01	    0.486852707069825E-01	    0.492631896582360E-01	   -0.917997596307619E+01	    0.182566059672595E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.366501067727115E-01	    0.384563174165011E-01	   -0.270568162807094E-01	   -0.477742775582964E-02	    0.642117275062013E+01	    0.182684181206483E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.289635764750340E-01	    0.599388701673505E-01	   -0.352557399380121E-01	   -0.296738876303835E-01	    0.661102940171791E+01	    0.182677108709228E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.556275404332157E-02	   -0.605672925566511E-01	    0.465866620283057E-01	    0.337709975166840E-01	   -0.122000960834369E+02	    0.182539647804347E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.472913208464371E-01	   -0.579158802200143E-01	    0.338172421184831E-02	    0.726558829986051E-02	    0.183760316150928E+02	    0.182698414409543E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.108387711236762E+00	   -0.817422324193629E-02	    0.314782413415034E-01	   -0.198460775031160E-01	   -0.597649294382439E+02	    0.183428952055920E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.400023459519911E-01	    0.595506610456607E-01	   -0.452546818913418E-01	   -0.368449173587386E-01	    0.319246389525382E+02	    0.182417932910184E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.970584735349309E-02	   -0.490194230540599E-01	    0.476974870651838E-01	    0.313711622397658E-01	   -0.250927260993993E+02	    0.182741021523825E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.596014835035748E-02	    0.838036983627817E-01	   -0.486745925264097E-01	   -0.632619703428261E-01	    0.108106210063776E+02	    0.182661591303201E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.156824600723805E-01	    0.261744237490735E-01	   -0.431702573560869E-01	    0.192635911617647E-01	    0.528065079452220E+02	    0.181773176574751E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.478867037191251E-01	   -0.958694816248484E-01	    0.439884434360575E-01	    0.937271835666430E-01	    0.456980325217450E+02	    0.182352443989231E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.425832892408260E-03	   -0.994096088024931E-01	    0.484269978526319E-01	    0.737886611704229E-01	    0.105793889725380E+02	    0.182641289477203E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.102317535865351E+00	   -0.334476544121603E-01	    0.841463916211743E-02	    0.641097489477902E-01	    0.685830180534864E+02	    0.182007717016930E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.569439757873061E-01	    0.312193047462279E-01	    0.178929749214048E-01	   -0.269704965679496E-04	   -0.297943480366178E+02	    0.182852821632551E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.319458199197614E-01	    0.770765140354790E-01	   -0.377954262856052E-01	   -0.446691098164248E-01	    0.180090589150504E+02	    0.182671601667295E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.498796172636390E-01	   -0.309271224667764E-01	    0.241522476024503E-01	   -0.106832129202804E-02	   -0.266008850186711E+02	    0.182732248708461E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.121348390184906E-02	   -0.373061504301816E-01	    0.486403925172045E-01	   -0.166997522269537E-01	   -0.392323562912980E+02	    0.183212647092645E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.408318250005957E-01	   -0.405094768151261E-01	    0.431674629994072E-01	    0.253007911061152E-01	   -0.412959043405036E+02	    0.183263046954707E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.899223168218732E-01	    0.195045267025315E-01	    0.209933990193620E-01	   -0.154690844765399E-01	   -0.469652821933678E+02	    0.183373135124398E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.214773695972584E-01	    0.392993278216206E-01	   -0.477942269479720E-01	   -0.221991124959526E-01	    0.378331150970571E+02	    0.182194153573789E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.445024926835999E-01	   -0.581265290146619E-01	    0.306752769604262E-01	    0.209850007412975E-01	   -0.191798300325254E+02	    0.182631980900183E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.363418910180983E-02	   -0.942773159132480E-01	    0.404440454006849E-01	    0.748157738041945E-01	    0.164302743603282E+02	    0.182643584079045E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.429985272529677E-01	    0.918347016468723E-01	   -0.345948872328456E-01	   -0.851379433156808E-01	   -0.131147076201874E+02	    0.182733239340038E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.453942215771470E-01	   -0.153128156980110E-01	   -0.274932939491234E-01	    0.140683238463333E-02	    0.418752862782467E+02	    0.182073049181497E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.347093259579383E-01	    0.321018398226924E-01	   -0.488880776451699E-01	   -0.328543332571906E-02	    0.525212375069280E+02	    0.181762082148040E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.683464916939462E-01	    0.481771585353592E-01	   -0.409775479795100E-01	   -0.195710840020426E-01	    0.440899666790902E+02	    0.182069987054945E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.115254271094609E+00	    0.338477666023439E-01	    0.127350495273220E-01	   -0.510618075112093E-01	   -0.565770670743777E+02	    0.183301810416481E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.479673339129934E-01	   -0.244926548315371E-01	   -0.218752663844162E-01	    0.267242439553834E-02	    0.384405593481805E+02	    0.182192989637286E+00	    0.600000000000000E+01	    0.111748622150701E+02
