 x [cm]	x' [rad]	y [cm]	y' [rad]	Phase [rad]	Kinetic Energy [MeV]	Charge State	Rest Mass [GeV/c2]
    0.500597098848866E+00	    0.107203308587546E-01	   -0.968137553622150E+00	   -0.438995444548984E-02	   -0.444224736963285E+02	    0.182628318539102E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.111818628217365E+01	   -0.715812052584943E-02	   -0.545276638873989E+00	   -0.142144720941569E-01	   -0.169124802693918E+01	    0.182648151985987E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.755318367441269E+00	    0.279574921369794E-02	    0.194265320329791E+00	    0.755803455265503E-02	    0.142485343870821E+02	    0.182640969624615E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.100198912303234E+01	   -0.135281173417693E-01	    0.879229358970983E+00	    0.139680707959722E-02	    0.429049353038012E+02	    0.182630568614783E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.594574340998279E+00	    0.104725590070361E-01	   -0.921944144376689E+00	   -0.285191945133467E-02	   -0.389544656794455E+02	    0.182624444237334E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.104654644782926E+01	   -0.583856496013459E-02	   -0.398876697019810E+00	   -0.109877439155962E-01	   -0.662325737279015E+01	    0.182623937599047E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.930386113275690E+00	   -0.470484503529724E-02	   -0.241986390584284E+00	   -0.830089784560461E-02	   -0.885596497755934E+01	    0.182624697558254E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.698606573038650E+00	   -0.144247174168354E-01	    0.125034828497176E+01	    0.996913556607704E-02	    0.614183271955579E+02	    0.182625427713745E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.991389248586170E-01	    0.396678932957593E-02	   -0.438590263863230E+00	   -0.517217320723195E-02	   -0.197431530549971E+02	    0.182625293604133E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.906600924202157E+00	   -0.517921744830665E-02	   -0.656369213100017E-01	   -0.771629362700243E-02	   -0.497469515854726E+01	    0.182626947632158E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.103536335342293E+01	    0.861627572231236E-02	   -0.214229784821296E+00	    0.558765261100869E-02	   -0.959267235258274E+01	    0.182624995581193E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.915668185945050E+00	   -0.728024904601034E-02	    0.218140255185639E+00	   -0.653750886542459E-02	    0.754455209614957E+01	    0.182629659644107E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.692746732936157E+00	   -0.131092177609330E-01	    0.108538646743712E+01	    0.633479776459079E-02	    0.533942164466484E+02	    0.182634949556615E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.304712978198277E+00	    0.693593417309466E-02	   -0.566922854221562E+00	   -0.516945793626566E-02	   -0.294606792823633E+02	    0.182624950877397E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.901380578608168E+00	   -0.106112988571053E-01	    0.665062936829267E+00	   -0.133370148816813E-02	    0.288415651136789E+02	    0.182625949255666E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.101960594821061E+01	   -0.607021189279613E-02	   -0.211527175651068E+00	   -0.957283768204708E-02	   -0.414790101469592E+01	    0.182627320160833E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.116663085649992E+01	   -0.133812626729136E-01	    0.283808669439381E+00	   -0.390236004588862E-02	    0.352921361200350E+02	    0.182627275457037E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.100424355491335E+01	   -0.556705462731179E-02	   -0.577031080992097E+00	   -0.133788270815994E-01	   -0.655115254527019E+01	    0.182626500597749E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.332462928323915E-01	   -0.670978044144568E-02	    0.103872276357455E+01	    0.116589803308461E-01	    0.438312852903577E+02	    0.182627498976018E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.509390995099293E+00	    0.131149111410255E-01	   -0.124646483413796E+01	   -0.101366436049130E-01	   -0.586800738912537E+02	    0.182640373576959E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.282500687514348E+00	    0.355780600585285E-02	   -0.713126735211486E+00	   -0.835625565943976E-02	   -0.329835589169210E+02	    0.182637855283829E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.970382679958912E+00	    0.874256492607537E-02	   -0.311404029009069E+00	    0.557252700107436E-02	   -0.132224132223349E+02	    0.182630792133764E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.726345150538636E+00	   -0.424891374058780E-02	    0.115748862541145E+00	   -0.527539774177332E-02	   -0.341091448587505E+01	    0.182624101510598E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.985722868882967E+00	   -0.117912780398851E-01	    0.679543696975665E+00	   -0.941726734002276E-03	    0.327431144080891E+02	    0.182628080121816E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.116030832026814E+01	    0.126811290254468E-01	   -0.506592353069360E+00	    0.417765677573423E-02	   -0.290725117614632E+02	    0.182623267045656E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.420274727784945E+00	   -0.100060053075081E-01	    0.955072966116345E+00	    0.589420954363684E-02	    0.451403980114063E+02	    0.182632475961952E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.619781183830546E+00	    0.132463980560774E-01	   -0.113251361102718E+01	   -0.718378573057909E-02	   -0.548489412300369E+02	    0.182629138103962E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.856190175569701E+00	    0.663314397461954E-02	   -0.232671362915212E+00	    0.565840192737322E-02	   -0.466244772966172E+01	    0.182625025383132E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.103011440431661E+01	    0.861320701442901E-02	    0.206243196680074E+00	    0.957331788393001E-02	   -0.956144280201141E+01	    0.182629942765189E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.921118314151736E+00	    0.348104057848695E-02	    0.448136298349923E+00	    0.116815444141839E-01	    0.173478632020127E+02	    0.182631745808237E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.111350096166794E+01	    0.132972799336189E-01	   -0.666484670815194E+00	    0.171882594602446E-02	   -0.350456240850705E+02	    0.182641342155065E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.241952774866568E+00	   -0.461038517750558E-02	    0.100788618362588E+01	    0.132740352362607E-01	    0.394267620252327E+02	    0.182624786964070E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.239277788444506E+00	   -0.383993367649373E-02	    0.820760291620022E+00	    0.104606000766371E-01	    0.345332630951118E+02	    0.182627096643628E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.529180910152299E+00	   -0.260545489363130E-02	    0.186959576505100E+00	   -0.516711798829694E-02	   -0.516201552821602E+01	    0.182624265423925E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.661333110843802E-02	   -0.673458109594640E-02	    0.106574350725008E+01	    0.129983460590456E-01	    0.428071300549023E+02	    0.182628527156226E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.993407824815167E+00	   -0.120661234388476E-01	    0.719674853424871E+00	   -0.463947193768962E-03	    0.342545826093439E+02	    0.182623937599047E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.685442807706623E+00	    0.709434899187271E-03	    0.791371159805780E+00	    0.135435571953867E-01	    0.247706112471288E+02	    0.182640343776796E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.106994959751991E+00	    0.124387802571300E-02	   -0.344787794639492E+00	   -0.542472274375816E-02	   -0.116457171835787E+02	    0.182629555334657E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.736411143204113E+00	   -0.975159243529107E-03	   -0.856795554057832E+00	   -0.146787652686026E-01	   -0.234440341714509E+02	    0.182623877991617E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.251769097528504E+00	    0.891350918464604E-02	   -0.966182634429211E+00	   -0.100313547938850E-01	   -0.436042181231271E+02	    0.182625651230950E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.113404511969342E+01	   -0.954593381829318E-02	    0.155899024559980E+00	   -0.635467860249539E-02	    0.123545780312379E+02	    0.182629912965027E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.834837146609006E+00	   -0.324043691143152E-02	   -0.302845464469070E+00	   -0.923200155941506E-02	   -0.142162965671247E+02	    0.182629227509779E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.275370032393458E+00	   -0.331393036976215E-02	    0.300195390350049E+00	    0.680590123536329E-02	    0.323797188353430E+02	    0.182626217476667E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.312879172346639E+00	   -0.336662529952582E-02	    0.880305011934466E+00	    0.116463627726052E-01	    0.344904619830802E+02	    0.182633548845956E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.496422926529394E+00	    0.119513092657203E-01	   -0.105493350211451E+01	   -0.929363928137083E-02	   -0.522914212106785E+02	    0.182638302318239E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.915192178257656E+00	   -0.156582299525267E-01	    0.106297289663074E+01	    0.751045561062436E-02	    0.601253426843119E+02	    0.182626902930139E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.107678036802177E+01	    0.841440130971614E-02	   -0.991088658656421E-01	    0.657457747163515E-02	   -0.668046181449561E+01	    0.182640805713064E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.112468415945108E+01	   -0.686669385976848E-02	   -0.570289320693487E+00	   -0.139324517860796E-01	   -0.356261197953375E+01	    0.182625710834827E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.939567552513527E+00	    0.395487585120145E-02	    0.714285361758298E+00	    0.148292880565141E-01	    0.155563785606538E+02	    0.182634636631818E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.489332362084733E+00	    0.103593083193177E-01	   -0.929661115593413E+00	   -0.365244824772437E-02	   -0.429288208218815E+02	    0.182647853963047E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.617155766636334E+00	   -0.147434852982316E-03	    0.911127860090560E+00	    0.148213308364366E-01	    0.271645075218084E+02	    0.182639419906039E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.912115432315422E+00	   -0.454686338998136E-02	   -0.233640855745548E+00	   -0.892813521770497E-02	   -0.905034405776019E+01	    0.182632952800077E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.105144822728549E+01	    0.645192303709928E-02	    0.362992061666077E+00	    0.109646681755994E-01	    0.471442059179993E+01	    0.182625725738461E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.100247365580211E+01	   -0.544182573429998E-02	   -0.312368633234078E+00	   -0.967148616311808E-02	   -0.729280305530774E+01	    0.182625755540400E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.631627903313291E+00	   -0.120134813616401E-01	    0.101293900775803E+01	    0.481829029174785E-02	    0.490370778352078E+02	    0.182626739016811E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.856516464047981E+00	   -0.365425310082492E-02	   -0.306216957801158E+00	   -0.859185419378538E-02	   -0.124095973058460E+02	    0.182624503842987E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.309446364368396E+00	   -0.408492878995594E-02	    0.102513362727208E+01	    0.141345102399800E-01	    0.391264306368633E+02	    0.182630002372619E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.271625555685805E+00	    0.861880891971532E-02	   -0.885444083259577E+00	   -0.910984742788334E-02	   -0.408715803007751E+02	    0.182623416058902E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.223827386687426E+00	   -0.274477260172125E-02	    0.677184292845001E-01	   -0.557159894217892E-03	    0.788112546192018E+01	    0.182626724116730E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.875633119425820E+00	    0.151625197475428E-01	   -0.107948830361398E+01	   -0.328160328192372E-02	   -0.559030684565884E+02	    0.182627305260752E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.824714159400118E+00	   -0.904524362630900E-02	    0.108002944468385E+00	   -0.371428783384819E-02	    0.220895047561479E+02	    0.182645305860873E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.844841318118470E+00	    0.292915116079393E-02	    0.701687477893060E+00	    0.136757202506278E-01	    0.176282432691016E+02	    0.182638913264199E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.126722362644123E+00	    0.811342299930993E-02	   -0.974728611190008E+00	   -0.766867230979462E-02	   -0.439685135122372E+02	    0.182624772063988E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.965066461537880E+00	   -0.479977660797295E-02	   -0.623209655479663E+00	   -0.133085066392805E-01	   -0.960758059814266E+01	    0.182628393046613E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.996610958228903E+00	    0.458112276174370E-02	    0.662663902333801E+00	    0.145870510548566E-01	    0.140871684143809E+02	    0.182632908096281E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.903423727310346E+00	    0.127609089111561E-01	   -0.846194335384430E+00	   -0.122771697917689E-02	   -0.401048348616938E+02	    0.182625457517460E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.464476923301900E+00	   -0.152026956420150E-02	    0.818372480562752E+00	    0.121862635076259E-01	    0.292950686005952E+02	    0.182627811899039E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.310037258832799E+00	    0.932628904484454E-02	   -0.957086595435763E+00	   -0.577370887024064E-02	   -0.438249333199269E+02	    0.182632401457994E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.747950923808766E+00	   -0.114741068238741E-01	    0.807096832807506E+00	    0.339922023865239E-03	    0.408157776574140E+02	    0.182629719247984E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.926461267464710E+00	   -0.122606180513626E-01	    0.808309904523989E+00	    0.993879098838971E-03	    0.380358738507509E+02	    0.182623833287821E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.647455983429300E+00	    0.121338950564737E-01	   -0.105419666637587E+01	   -0.485855731514950E-02	   -0.468875316492000E+02	    0.182624280325783E+00	    0.600000000000000E+01	    0.111748622150701E+02
